seqN,TreeNo,DeathAge,x,y,z,Year,Age,H,HB,GB,G0.1H,G0,G0.3,G1.3,G2.3,G3.3,G4.3,G5.3,G6.3,G7.3,G8.3,G9.3,G10.3,G11.3,G12.3,G13.3,G14.3,G15.3,G16.3,Vs
2409,73,35,2.5,7.070512479,7,1993,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2410,74,31,4.5,7.694836503,6.85,1993,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2411,75,100,4.83,8.464710618,7.6,1993,37,10.58,8.3,10.6,26.8,33.8,28.9,26.6,25.5,22.2,20.3,17.9,14.9,12.9,10.6,6,0.8,NA,NA,NA,NA,NA,NA,30.51
2412,76,100,5.83,8.912640667,7.9,1993,37,13.35,7.1,26.4,36.4,53.4,39.9,36.8,34.5,33.2,31.8,30,28.3,25.7,24.2,21,16.6,11.7,5.6,0.3,NA,NA,NA,79.2
2413,77,100,6.83,9.089034643,7.9,1993,37,9.4,6.7,10.6,21.3,29.8,22.6,20.7,18.1,16.5,14.8,12.8,11,8.5,4.8,0.5,NA,NA,NA,NA,NA,NA,NA,16.65
2414,78,100,7.5,9.030640295,7.8,1993,37,9.77,5.62,13.4,22,33.3,25.5,21.5,19.2,17.5,15.9,13.9,11.9,10.3,7.3,1.9,NA,NA,NA,NA,NA,NA,NA,19.7
2415,79,100,9.83,9.889752643,8.15,1993,37,12.7,6.65,17.7,25.5,51.1,29.5,25.7,23.9,22.4,21,20,18.2,17,15.1,13,10.4,6.6,1.3,NA,NA,NA,NA,37.42
2416,80,100,12.17,9.422258486,7.25,1993,37,14.39,7.58,23.5,33.2,55.6,40,33.8,32,31,29.6,27.4,25.9,23.9,21.7,19.3,16.9,13.9,10.1,4.8,0.3,NA,NA,71.2
2417,81,28,11.83,8.389706211,6.4,1993,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2418,82,100,10.83,8.740411672,6.9,1993,37,14.93,7.13,35.5,43.7,79.2,47.7,43.8,43.1,41.3,40.3,38,36,33.8,30.8,27.9,24.5,19.5,14,8.3,2.8,NA,NA,130.4
2419,83,100,9.83,8.564017696,7,1993,37,13.71,6.58,32.3,40.5,54,46.6,40.9,39.5,37.8,35.9,33.7,31.9,29.6,24.8,23.1,17.2,12.2,6.9,1.9,NA,NA,NA,99.25
2420,84,100,7.83,8.20324339,7.1,1993,37,13.43,6.8,30.4,42.4,62.5,45.9,42.5,40.8,38.7,36.4,34,31.8,28.9,25.3,20.5,17,11.1,5.5,0.6,NA,NA,NA,101.5
2421,85,37,6.5,8.055610809,7.1,1993,37,7.63,0,0,18.3,27,19.7,17.8,16.3,14.8,12.9,9.5,4.8,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2422,86,100,6.5,7.520525018,6.66,1993,37,13.58,8.59,21.1,30.9,48.8,33.2,31.1,30.2,29.5,28,26.9,25.1,23.7,21.8,19.5,15.9,12,6.5,0.9,NA,NA,NA,62.21
2423,87,100,5.83,6.780283855,5.85,1993,37,12.64,9.5,15.9,27.5,42.8,28.8,27.5,26.9,25.8,24.7,23.3,21.9,20.1,18.4,16.5,12.6,6.7,1.3,NA,NA,NA,NA,46.25
2424,88,100,4.83,6.867439598,6.15,1993,37,14.1,7.36,36.2,46.3,83.5,52,46.1,45.6,44.4,42.8,40.3,38.4,36.2,32.4,27.5,22.8,16.4,9.9,3.8,NA,NA,NA,142.64
2425,89,100,0.17,5.412764621,7,1993,37,11.5,5.25,28.2,37.7,59,43.2,37.9,35.4,33,30.7,28,23.8,21.5,15.8,11.7,5.7,0.8,NA,NA,NA,NA,NA,69.14
2426,90,100,0.5,4.313831642,6,1993,37,12.73,5.32,38.3,46.4,61.1,48.2,46.4,44.6,42.9,40.5,38.3,34.6,30.7,26.7,20.2,14.8,7.3,1.6,NA,NA,NA,NA,116.93
2427,91,40,1.5,5.025311409,6.2,1993,37,8.3,6.25,8.3,20.2,31.2,22.9,19.4,16.8,14.3,12.3,10.2,8.1,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.51
2428,92,100,1.83,3.934364786,5.2,1993,37,11.68,5.45,32.4,42.2,71,45.9,42.2,39.9,37.7,35.3,32.6,29.2,24.8,19.1,13.2,6.9,1.6,NA,NA,NA,NA,NA,89.8
2429,93,39,2.83,4.909394272,5.2,1993,37,6.75,3.34,11.4,18.9,27,22,16.9,13.7,11.3,9.9,6.8,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.32
2430,94,100,4.83,5.00661886,4.4,1993,37,12.68,7.53,29.5,40,60.8,44.5,39.9,39.1,37.3,35.1,33,30.5,27.7,24.5,20.7,15.7,7.8,1.3,NA,NA,NA,NA,93.18
2431,95,100,5.83,5.446562553,4.75,1993,37,12.6,9.07,13.4,23.7,36.3,26.8,23.7,23.2,22,21.1,20,18.6,17,15.4,12.9,10.3,5.6,0.9,NA,NA,NA,NA,33.98
2432,96,100,6.5,6.458339789,5.6,1993,37,10.96,7.79,13.6,25.7,38,28.3,25.7,23.9,22.6,20.9,19,16.6,14.2,11.9,8.5,3.1,NA,NA,NA,NA,NA,NA,31.64
2433,97,34,7.5,6.634733765,5.75,1993,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2434,98,34,7.83,7.40460788,6.4,1993,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2435,99,29,8.83,6.782366345,5.7,1993,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2436,100,30,9.83,7.493846113,6.1,1993,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2437,101,100,11.5,6.821196586,5.25,1993,37,15.51,6.83,45.7,58,114,73.3,58.5,57.4,55.1,52.3,49.8,46.5,43.2,39.8,36,31.5,26.3,19.8,13.7,7.1,0.8,NA,235.81
2438,102,100,9.83,6.695210603,5.4,1993,37,9.94,6.65,13.2,23.9,39.7,29,23.6,22.4,20.3,18.4,16,13.8,11.6,7.2,3.1,NA,NA,NA,NA,NA,NA,NA,25.72
2439,103,100,10.83,3.41351282,2.8,1993,37,11.45,7.88,17.1,31.1,41.5,33.5,31,28.9,27.2,25.9,24.1,21.8,18.6,15.5,12.7,7.7,0.9,NA,NA,NA,NA,NA,48.21
2440,104,33,9.83,5.633025374,4.6,1993,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2441,105,28,8.5,5.748942512,4.8,1993,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2442,106,100,7.5,5.572548536,4.7,1993,37,13.86,9.03,22.4,34.7,53.5,38.5,34.9,34.1,33.3,31.5,30.5,28.7,26.4,23.8,21.3,17.7,13.7,7.8,2,NA,NA,NA,78.86
2443,107,100,6.5,4.861068769,4.25,1993,37,13.55,8.98,20.4,31.6,50,34.8,31.7,31,30.1,28.9,27.4,25.3,23.6,21.8,18.5,15.8,11.2,5.6,0.8,NA,NA,NA,63.99
2444,108,100,7.5,4.773913026,4.2,1993,37,14.45,10.4,20.3,34.5,51.5,38,34.3,33.5,32.7,31.7,30.5,28.9,26.8,24.5,22.8,20.4,15.8,12.3,5.5,0.6,NA,NA,80.86
2445,109,100,9.17,5.155462373,4.33,1993,37,11.41,8.09,13.2,21.5,28.2,23.3,21.9,21,20.3,19,17.2,15.7,14.2,12.5,9.4,5.2,0.6,NA,NA,NA,NA,NA,25.32
2446,110,100,10.83,4.483684403,3.66,1993,37,12.8,9.08,19.5,33.7,54.7,36.5,34.1,32,30.5,28.7,27.2,25.3,23,21.1,19,15.6,8.7,2.2,NA,NA,NA,NA,65.99
2447,111,33,11.83,3.861442869,3.1,1993,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2448,112,30,9.83,4.035754354,3.5,1993,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2449,113,100,8.83,3.859360378,3.4,1993,37,15.33,8.35,34.2,46,93.2,57,46.6,46.1,45.3,43.5,41.3,38.7,36.4,34.2,31.4,27.6,23.5,18.2,11.7,5.7,0.3,NA,160.38
2450,114,100,7.5,3.975277516,3.6,1993,37,12.6,8.36,16.7,31.5,46.8,34.8,31.4,29.8,27.5,25.5,23.2,21,18.7,16.7,14.7,10.6,6.6,1.1,NA,NA,NA,NA,50.74
2451,115,100,6.5,3.790897186,3.4,1993,37,13.02,9.98,15.7,29.1,47.2,33.6,29.1,27.9,26.7,25.7,24.1,23.2,21.3,19.3,16.8,14.2,10.5,4.6,NA,NA,NA,NA,52.69
2452,116,100,5.5,4.149589002,3.6,1993,37,11.21,6.32,21.1,28.8,44.9,31.5,28.8,28.1,26.2,25.3,23,21.1,18.2,14,11,5.8,NA,NA,NA,NA,NA,NA,44.11
2453,117,100,4.5,3.701658953,3.3,1993,37,11.89,6.05,27.1,37,67.5,47,37.4,35,33.4,32.1,28.7,27,24.6,21.5,16.1,9.5,4,NA,NA,NA,NA,NA,78.54
2454,118,100,3.17,3.817576091,4,1993,37,9.84,4.43,24.3,34.3,52,40,32.1,28.4,26.6,24.3,21.1,18.8,13.8,6.5,1.9,NA,NA,NA,NA,NA,NA,NA,44.68
2455,119,33,2.5,3.077334928,3.9,1993,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2456,120,36,1.17,2.658166274,4.33,1993,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2457,121,40,0.5,2.988096695,4.9,1993,37,6.4,4.13,11.2,19.1,29.8,21.5,17.9,16,13.4,9.7,3.6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.32
2458,122,100,0.83,1.36206428,3.4,1993,37,11.03,5.64,30.8,47.9,71.3,55,47.3,46.9,42.6,37.4,32.5,27.2,21.8,16,9.5,3,NA,NA,NA,NA,NA,NA,103.48
2459,123,100,2.5,1.743613627,2.67,1993,37,9.85,4.68,27.3,35.3,66.6,39.2,34.5,33.2,30.9,28.4,24.6,20.3,12.7,8,1.9,NA,NA,NA,NA,NA,NA,NA,55.41
2460,124,36,4.17,1.86959961,1.8,1993,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2461,125,100,5.17,2.844629095,2.5,1993,37,10.41,6.61,16.7,26.5,44.2,29,26.3,24.6,22.9,21.3,19.4,17.1,13.1,9.5,5.3,0.6,NA,NA,NA,NA,NA,NA,32.42
2462,126,100,5.5,1.753682472,1.75,1993,37,14.7,6.09,42.6,48.9,83.8,59.2,48.8,48.1,46.7,45.9,43.7,41.5,40,36.5,31.8,28,21.8,14.5,7.7,1.9,NA,NA,170.46
2463,127,28,6.5,2.992261676,2.75,1993,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2464,128,100,6.5,2.193626166,2.2,1993,37,14.15,7.54,24.9,36.3,51,38.7,36.5,35.2,33.5,32,30.3,27.7,25.6,22.7,20.5,17.5,12.8,8.1,2.5,NA,NA,NA,78.77
2465,129,24,8.83,3.060724868,2.8,1993,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2466,130,100,7.83,1.550609591,1.7,1993,37,14.94,7.5,41.8,56.5,84,65.1,56.8,55.1,53.1,51,47.4,44.5,42,38.9,34.8,30.3,23.6,16.6,9.5,3,NA,NA,207.37
2467,131,36,9.83,3.237118844,2.8,1993,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2468,132,100,11.5,3.091568754,2.6,1993,37,13.65,8.26,24,33.7,67,39.2,33.9,32.6,32.1,30.3,28.9,27.2,26.6,23.4,20,16.7,12,6.1,1,NA,NA,NA,75.79
2469,133,100,11.5,2.029383525,1.95,1993,37,12.19,8.67,17.1,32.4,67.3,39.8,31.8,30.2,28.8,27.3,25.6,23.3,20.4,18.1,15.1,8.2,3.8,NA,NA,NA,NA,NA,59.33
2470,134,25,10.5,1.581453476,1.55,1993,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2471,135,100,9.17,0.363649312,0.75,1993,37,13.01,9.43,19.1,32.9,49.4,37.3,32.9,31.7,30.7,29.6,27.7,26,23.7,21.6,19.1,16.4,9,2.7,NA,NA,NA,NA,66.59
2472,136,100,10.17,0.548029643,0.75,1993,37,11.95,8.91,15.4,32,42,35.8,31.6,30,28.5,26.3,24.2,22.1,19.5,16.5,14,10.2,3.1,NA,NA,NA,NA,NA,51.99
2473,137,25,11.5,0.695662223,0.8,1993,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2474,138,35,11.17,-0.074211891,0.2,1993,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2475,139,21,9.17,1.162284822,1.25,1993,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2476,140,36,7.83,0.751974081,1.1,1993,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2477,141,28,6.83,0.839129824,1.1,1993,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2478,142,26,7.17,0.010861361,0.5,1993,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2479,143,100,5.83,0.654749493,0.85,1993,37,9.03,6.5,11.4,20.3,29.4,21.5,19.3,18.3,17.1,15.6,13.4,11.5,7.8,2.8,NA,NA,NA,NA,NA,NA,NA,NA,16.33
2480,144,36,4.5,0.770666631,0.85,1993,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2481,145,100,3.17,0.359484332,1.15,1993,37,10,5.47,22.3,31.8,60.5,38.8,31,28.6,26,23.6,22.1,18.9,12,8,2.5,NA,NA,NA,NA,NA,NA,NA,44.55
2482,146,38,1.5,0.505034423,2.3,1993,37,7.48,3.29,15.7,21.8,42.6,25.5,20.3,17.5,15.5,12.1,8.1,3.8,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.96
2483,1,100,2.83,15.82674169,14.5,1994,38,9.07,5.39,19.4,29.9,56.5,34.5,30,27.7,24.6,22.5,19.4,15.3,9,4.3,NA,NA,NA,NA,NA,NA,NA,NA,37.69
2484,2,100,1.5,15.40757304,14.33,1994,38,10.38,5.15,34.2,43.8,78,47.9,43.4,41.8,39.4,37.7,33.4,29.6,25.1,16.5,6.4,0.6,NA,NA,NA,NA,NA,NA,95.04
2485,3,100,0.5,14.16899384,13.4,1994,38,11.55,7.94,22.5,32.3,52.4,35.6,32.5,30.8,30,28.1,26.7,25.8,23.1,20.5,15.3,9.2,1.3,NA,NA,NA,NA,NA,60.34
2486,4,32,1.5,14.34538781,13.45,1994,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2487,5,32,2.5,15.05686758,14,1994,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2488,6,100,3.83,15.73958595,14.3,1994,38,9.63,6.35,23.9,35.3,82.5,40.7,35.3,33.3,30.9,28.8,26.5,23.9,19.6,11.9,1.9,NA,NA,NA,NA,NA,NA,NA,63.97
2489,7,100,4.5,15.14610581,13.7,1994,38,9.65,4.91,21.8,29.5,50,33.2,28.7,27.4,25,22.3,19.4,16.6,11.8,8.7,1.6,NA,NA,NA,NA,NA,NA,NA,37.06
2490,8,100,5.83,15.56527447,13.85,1994,38,10.79,6.53,23.3,31.5,52.3,34.9,30.9,31,28.3,27,25.5,23.5,20.3,15.8,8.8,1.6,NA,NA,NA,NA,NA,NA,52.45
2491,9,100,7.83,15.39096298,13.6,1994,38,12.74,7.46,32,44.5,68.5,47.5,44.2,43.5,42.5,40.9,38.1,35.5,32.1,28,23.6,16.2,9.7,3.1,NA,NA,NA,NA,118.9
2492,10,40,9.17,15.537724,13.3,1994,38,6.84,4.43,9.5,19.4,27.5,20.4,18,15.8,13.1,9.6,5.3,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.97
2493,11,100,10.83,15.12949575,12.25,1994,38,8.81,5.73,14.2,26.2,44.7,28.9,25,22,20.5,17.7,15.3,11.9,7.4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,24.83
2494,12,32,11.5,15.0711014,12.1,1994,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2495,13,100,11.5,13.7373801,10.9,1994,38,13.34,8.83,20.5,35.1,52.5,38,35.2,33.2,31.5,29.7,27.9,26.3,24.4,22.1,19.2,14.6,10,4.4,0.6,NA,NA,NA,70.21
2496,14,28,10.5,13.82453585,11.3,1994,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2497,15,35,9.5,14.44677738,12.15,1994,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2498,16,26,9.17,14.47553877,12.25,1994,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2499,17,100,6.83,14.14439742,12.45,1994,38,10.83,7.1,18.3,30.5,46.5,33.5,30.5,28.7,26.5,25,22.3,20.5,17.4,13.8,9.4,3.1,NA,NA,NA,NA,NA,NA,44.89
2500,18,100,4.5,14.3474703,13,1994,38,7.18,4.43,11.2,19.4,32.5,20.5,18.7,16.5,13.8,11.3,7.7,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.51
2501,19,27,3.5,13.63599053,12.5,1994,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2502,20,100,2.5,13.45959656,12.5,1994,38,9.75,6.4,20.2,36.7,45.6,34.8,31.5,29.8,27.3,25.1,22.7,20.4,16.7,10.5,3.3,NA,NA,NA,NA,NA,NA,NA,45.22
2503,21,100,1.5,13.5467523,12.7,1994,38,11.51,6.48,24.1,34.3,58.3,38,33.9,32.6,30.5,28.5,26.8,24.2,21.6,18.1,12.1,6.6,0.9,NA,NA,NA,NA,NA,61.21
2504,22,100,0.17,13.39911972,12.85,1994,38,11.89,6.51,29,39.8,61,44.2,39.3,37.2,35.3,33.1,31,29,26.8,24.6,17.8,11,2.8,NA,NA,NA,NA,NA,84.88
2505,23,34,0.17,12.32894814,12.05,1994,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2506,24,100,1.5,12.213031,11.6,1994,38,12.41,6.37,27.5,36.2,61.8,39.2,35.9,34.2,33.1,31.6,29.7,27.7,25.8,22,17.8,12.2,5.5,0.6,NA,NA,NA,NA,74.96
2507,25,100,2.5,12.66096105,11.7,1994,38,9.87,6.74,23,35.5,49.6,37.5,34.7,33.5,31,28.9,26.4,24,20.9,14.7,1.6,NA,NA,NA,NA,NA,NA,NA,58.36
2508,26,38,3.83,12.80859363,11.66,1994,38,8.84,0,0,22.9,33.2,23.7,21.8,19.8,18,15.9,13.3,11,8.3,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2509,27,100,4.5,12.48664956,11.25,1994,38,10.38,7.99,12,23,36.2,25.3,22.9,21,19.7,18.1,16.6,15.2,13.3,10.6,6.4,0.3,NA,NA,NA,NA,NA,NA,24.91
2510,28,100,4.83,13.5200734,12.15,1994,38,11,7.53,18.9,29.5,46.1,31.6,28.9,28.1,26.5,25.4,23.3,21,19.3,15.5,9,2.9,NA,NA,NA,NA,NA,NA,44.75
2511,29,21,NA,NA,NA,1994,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2512,30,100,7.17,13.58766503,11.85,1994,38,12.53,6.71,25.6,36.1,53.5,38.9,36,34.3,33.2,31,29.1,26.2,24.4,20,15.5,10.9,4.6,0.6,NA,NA,NA,NA,70.49
2513,31,100,9.17,13.41335355,11.25,1994,38,13.09,7.32,27.3,36.7,53.2,40.6,36.5,35.6,34.5,32.7,30.9,28.7,27.3,23.6,19.9,14.4,9,2.8,NA,NA,NA,NA,80.58
2514,32,100,11.5,13.21028067,10.5,1994,38,11.23,8.21,14.6,29.8,42.3,30.2,29.5,27.8,26.2,23.5,21.7,18.8,16.5,14,10.9,6.7,NA,NA,NA,NA,NA,NA,41.31
2515,33,100,9.5,12.84950636,10.7,1994,38,13.8,8.44,26.7,40.2,60.5,44.9,40.9,38.8,37.1,35,33.7,31.4,29.4,26.7,22.9,19.9,14.2,8,1.3,NA,NA,NA,99.67
2516,34,21,NA,NA,NA,1994,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2517,35,36,7.83,12.19642094,10.5,1994,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2518,36,100,5.83,12.90581822,11.5,1994,38,11.84,7.78,21.8,33.4,46.8,35.8,33.2,32.7,31,29,27.2,24.9,22.5,19.1,14.8,8.2,1.6,NA,NA,NA,NA,NA,60.91
2519,37,100,5.83,11.83564663,10.5,1994,38,9.61,7.66,10,23.5,33.5,25.1,22.1,20.4,18.3,16.3,14.1,12.4,10.7,7.2,1.3,NA,NA,NA,NA,NA,NA,NA,20.71
2520,38,100,6.5,11.77725229,10.3,1994,38,12.38,7.88,25.4,39.5,56.2,44.1,39.3,38,36.6,34.2,31.6,29.3,26.2,23.4,18.5,10.3,5,0.6,NA,NA,NA,NA,85.95
2521,39,100,5.17,11.62961971,10.3,1994,38,11.68,7.47,20.2,31.6,46,33.9,31.1,30,28.9,26.7,24.8,22.9,20.5,17,12.2,6.6,1.3,NA,NA,NA,NA,NA,51.9
2522,40,100,4.17,11.98032517,10.8,1994,38,10.85,8.33,11.7,26,36,28,25.9,23.5,22,19.8,18.5,16.8,14.5,11.7,7.7,2.2,NA,NA,NA,NA,NA,NA,30.54
2523,41,100,3.83,11.7464084,10.66,1994,38,11.97,6.31,26.5,34.5,52.4,39.2,34.4,33.4,31.6,29.8,28.3,26.5,23.1,19.5,15,9.6,2.8,NA,NA,NA,NA,NA,66.34
2524,42,100,2.83,11.29847835,10.33,1994,38,9.34,5.89,21.2,29.6,42.8,32.5,29.1,28,26.5,25,22.5,19.6,14.6,7.1,0.3,NA,NA,NA,NA,NA,NA,NA,40.37
2525,43,100,2.17,11.62753722,10.8,1994,38,10.87,7.4,21.4,34.4,58.8,37.3,33.9,32.4,31.2,28.6,27.3,24.3,21.4,15.4,9.2,1.9,NA,NA,NA,NA,NA,NA,59.93
2526,44,100,1.83,11.12208438,10.45,1994,38,8.67,5.29,12.2,22.7,33.7,24.2,22.1,19.7,17.3,15.3,12.2,8.9,6.5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,17.77
2527,45,32,0.5,11.23800151,11.2,1994,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2528,46,100,1.17,9.845885865,9.8,1994,38,8.99,5.92,12.7,22.3,33.7,24.5,22.2,19.9,18,15.9,13.7,10.9,7.9,2.8,NA,NA,NA,NA,NA,NA,NA,NA,19.11
2529,47,100,0.5,9.105644702,9.6,1994,38,10.27,6.53,13.9,23.1,35.5,25.7,23,21.2,19.5,17.7,15.9,14.2,11.9,9.8,5,NA,NA,NA,NA,NA,NA,NA,23.9
2530,48,100,2.5,9.729968727,9.1,1994,38,12.35,7.34,25.3,36.7,53.8,40.8,36.5,35.5,34.3,32,30.4,27.9,25.3,22.1,17.1,11.3,4.4,0.5,NA,NA,NA,NA,76.23
2531,49,100,2.83,9.174107895,8.55,1994,38,10.73,5.1,28.7,37.9,62.3,42.3,37.3,35.1,33.7,31.4,27.6,24.1,20.4,14.2,8.5,2.2,NA,NA,NA,NA,NA,NA,67.85
2532,50,33,3.5,10.44144849,9.5,1994,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2533,51,100,4.17,11.18168966,10.1,1994,38,12.23,5.98,26.3,34.6,46.7,37,34.2,32.8,31.9,30.1,28.2,24.2,21.2,17.9,14.4,9.4,3.4,NA,NA,NA,NA,NA,62.4
2534,52,100,4.5,10.09074303,9.1,1994,38,11.5,6.91,17.8,25.1,40.9,27.7,25,23.8,23.2,21.6,19.9,18.5,15.7,13,10.3,4.4,0.6,NA,NA,NA,NA,NA,33.62
2535,53,36,4.83,10.86061715,9.75,1994,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2536,54,100,6.17,10.74382845,9.45,1994,38,12.44,7.85,18.2,27.2,45.2,29.8,27.2,26,25.1,23.9,22.3,20.4,18.6,17.1,13.4,9.9,4.4,0.6,NA,NA,NA,NA,42.57
2537,55,27,7.83,10.86269964,9.3,1994,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2538,56,33,8.83,11.84571548,10.05,1994,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2539,57,100,10.83,12.73358922,10.25,1994,38,13.93,8.57,24.7,38.9,60.3,45.4,38.8,37.7,35.6,34.1,32,30,27.3,24.7,21.7,17.5,12.8,6.1,1.6,NA,NA,NA,91.53
2540,58,29,11.83,11.58424825,9.25,1994,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
